ID,name,latitude,longitude
171,Владыкино,55.8473,37.5899
172,Петровско-Разумовская,55.8351,37.5745
173,Тимирязевская,55.8176,37.5765
174,Дмитровская,55.8069,37.5817
175,Савёловская,55.7927,37.5885
176,Менделеевская,55.781,37.6011
177,Цветной бульвар,55.7708,37.6187
178,Чеховская,55.764821,37.609087
179,Боровицкая,55.7511,37.6072
180,Полянка,55.7379,37.618
181,Серпуховская,55.728,37.6246
182,Тульская,55.7087,37.6229
183,Нагатинская,55.683,37.6224
184,Нагорная,55.6724,37.6104
185,Нахимовский проспект,55.6627,37.6055
186,Севастопольская,55.6524,37.5984
187,Чертановская,55.6405,37.6067
188,Южная,55.6224,37.609
189,Пражская,55.6124,37.6044
190,Улица Академика Янгеля,55.5949,37.6004
191,Аннино,55.5828,37.5966
192,Бульвар Дмитрия Донского,55.5693,37.5769
193,Физтех,55.9216,37.5465
194,Лианозово,55.8989,37.5446
195,Яхромская,55.8799,37.5454
196,Селигерская,55.8665,37.5471
197,Верхние Лихоборы,55.856,37.561
198,Окружная,55.846096,37.573971
199,Петровско-Разумовская,55.8351,37.5745
200,Фонвизинская,55.8228,37.5881
201,Бутырская,55.8133,37.6028
202,Марьина Роща,55.7954,37.6162
203,Достоевская,55.7816,37.6151
204,Трубная,55.7688,37.62
205,Сретенский бульвар,55.7668,37.6392
206,Чкаловская,55.7565,37.6573
207,Римская,55.7463,37.6819
208,Крестьянская Застава,55.7331,37.6673
209,Дубровка,55.7186,37.676
210,Кожуховская,55.7074,37.6851
211,Печатники,55.6934,37.727
212,Волжская,55.6909,37.753
213,Люблино,55.6758,37.7618
214,Братиславская,55.6597,37.7505
215,Марьино,55.65,37.7431
216,Борисово,55.6334,37.7436
217,Шипиловская,55.6211,37.7437
218,Зябликово,55.6124,37.7453
219,Савёловская,55.7934,37.587
220,Петровский парк,55.791867,37.557221
221,ЦСКА,55.786574,37.533222
222,Хорошёвская,55.776695,37.519124
223,Народное Ополчение,55.775701,37.485072
224,Мнёвники,55.761152,37.47139
225,Терехово,55.748,37.4596
226,Кунцевская,55.7288,37.446
227,Давыдково,55.7152,37.4517
228,Аминьевская,55.6971,37.4651
229,Мичуринский проспект,55.6882,37.4853
230,Проспект Вернадского,55.6784,37.504
231,Новаторская,55.6699,37.5221
232,Воронцовская,55.6589,37.5393
233,Зюзино,55.6558,37.5735
234,Каховская,55.653,37.5983
235,Варшавская,55.6533,37.6194
236,Каширская,55.6551,37.6487
237,Кленовый бульвар,55.674881,37.682269
238,Нагатинский Затон,55.684422,37.703568
239,Печатники,55.6946,37.727361
240,Текстильщики,55.70847,37.728344
241,Нижегородская,55.732471,37.728327
242,Авиамоторная,55.751436,37.716619
243,Лефортово,55.764698,37.706759
244,Электрозаводская,55.780292,37.703013
245,Сокольники,55.79111,37.67889
246,Рижская,55.793806,37.635889
247,Марьина Роща,55.798367,37.617267
248,Битцевский парк,55.6004,37.5562
249,Лесопарковая,55.5821,37.5769
250,Улица Старокачаловская,55.569,37.5767
251,Улица Скобелевская,55.5481,37.5546
252,Бульвар Адмирала Ушакова,55.5455,37.543
253,Улица Горчакова,55.5418,37.5308
254,Бунинская аллея,55.538,37.5158
