ID,name,latitude,longitude
137,Школа №1002,55.6527893,37.402164
138,школа №1001,55.6526001,37.4042368
139,Школа №1253,55.7346148,37.5922405
140,Социально-реабилитационный центр для несовершеннолетних,55.7137319,37.8504808
141,Школа с углубленным изучением иностранного языка № 1231 имени В. Д. Поленова,55.7387981,37.5923222
142,Школа №1598. Здание №2,55.8185248,37.829256
143,Школа №1078 (Модуль №2),55.8190333,37.8208288
144,Школа № 727,55.8277937,37.4297997
145,Школа №121,55.6697291,37.5493704
146,Школа №1259,55.7319937,37.6320087
147,Школа №633,55.7546747,37.8270964
148,Школа №1097,55.8659895,37.6574187
149,Лицей №1575,55.8050537,37.5320355
150,Школа №302,55.8804305,37.5794377
151,Школа №635,55.7571779,37.7923071
154,Школа № 727,55.8171761,37.4291092
155,Спортшкола № 46,55.6069056,37.6777051
156,Гимназия №45,55.6917983,37.5858468
157,"ГБОУ СОШ №1347, школьное отделение №1",55.6574565,37.4092129
158,Центр образования №1499,55.8357258,37.6605556
159,Блок начальных классов школы №1387,55.9106237,37.3863956
160,Школа «Золотое сечение»,55.7385903,37.577139
161,Гимназия №115,54.9571156,73.3831632
162,Школа №692,55.8563497,37.4730511
163,Школа «Содружество». Учебный корпус №2,55.7607457,37.6915744
164,Начальная школа №1826,55.8667093,37.5675411
165,Детский сад №1548,55.8611376,37.5604878
166,Школа №1383,55.8579072,37.5663031
167,Школа 1238,55.6453449,37.3456781
168,Школа № 1252 имени Сервантеса,55.8102107,37.4963393
169,Школа №1285,55.8338476,37.4485177
170,Школа № 2107. Школа им. Ромена Роллана,55.7854975,37.6320923
171,Школа №1231 имени В. Д. Поленова,55.7403285,37.5774833
172,Школа № 1133. Школа успеха,55.7504878,37.4188833
173,Школа № 1133. Школа развития,55.7516769,37.4179605
174,Гимназия №1517,55.7751017,37.4629548
175,Психоневрологический интернат №4,55.7362311,37.4590944
176,Школа № 1794. Здание 7,55.8696222,37.5658385
177,Школа № 1794. Здание 8,55.8700469,37.567721
178,Школа №2097 корпус №1,55.8467888,37.4298608
179,Школа № 1323,55.7430375,37.625783
180,Школа № 1234. Начальная школа,55.7562998,37.5852251
181,Школа №1223,55.8448107,37.5534485
182,Лицей № 1535,55.7260387,37.5650015
183,Школа №343,55.8034367,37.7770052
184,Школьное отделение № 22 Лицея № 1501,55.7699198,37.6066168
185,Школа №849,55.8752844,37.5396717
186,Школа №1121,55.8754473,37.5416211
187,Спецшкола №30,55.7370603,37.5714404
188,Школа №57 (здание №3),55.7205716,37.569045
189,Школа №45,55.7240585,37.5602548
190,Школа № 647,55.763312,37.7377824
191,Школа № 1329,55.6689647,37.4649297
192,"Школа № 630 имени дважды Героя Советского Союза Г.П. Кравченко. Здание ""На Хавской""",55.7133694,37.6146213
193,Школа №1409,55.7885255,37.5444968
194,Московский академический художественный лицей,55.7323416,37.6079558
195,Начальная школа - детский сад №1761,55.7534586,37.6784135
196,Гребная спортбаза ЦСК ВМФ РФ по академической гребле,55.7752087,37.4340277
197,Школа № 843,55.6698785,37.4602345
198,Школа №1236 имени С.В.Милашенкова. Отделение №250,55.817851,37.5867705
199,Школа № 656 им. А. С. Макаренко,55.8704118,37.5526854
200,Школа №767,55.8209221,37.7948285
201,"Школа ""Покровский квартал"". Здание на Б. Казенном",55.7605664,37.6555793
202,Иракская школа,55.7563414,37.5948429
203,Пушкинская гимназия на Пресне,55.7586151,37.5706237
204,Романовская школа,55.7672908,37.5695366
205,Школа № 962,55.8553388,37.5877126
206,Инженерно-техническая школа им. дважды Героя Советского Союза П.Р. Поповича,55.8057821,37.5480073
207,Специальная (коррекционная) общеобразовательная школа-интернат № 2,55.8098255,37.5347202
208,Кадетская школа № 1784,55.7803093,37.5684252
209,Школа № 63,55.7561458,37.4128149
210,Школа № 2054. Школьное отделение №3,55.7650282,37.6142371
211,Школа № 2030,55.7598673,37.5557759
212,Планета успеха,55.8366676,37.5280176
213,Школа с углубленным изучением отдельных предметов № 1234,55.7651748,37.6013492
214,Школа № 1631 имени Героя Советского Союза В.П. Кислякова. Учебный корпус № 1631,55.8921625,37.5395776
215,Гимназия Марьина Роща имени В. Ф. Орлова. Учебный корпус 35,55.7865131,37.6046806
216,Школа №1501,55.7796397,37.6141136
217,Школа №30,55.0199066,73.4192992
218,"Интeрнат ""Третий Московский кадетский корпус имени Александра Невского""",55.7328784,37.6522596
219,Школа № 340,55.7588422,37.5366524
220,Школа № 1631 имени Героя Советского Союза В.П. Кислякова. Учебный корпус № 184,55.8955124,37.5378709
221,Школа №1430,55.9038655,37.5668786
223,Школа №1221,55.7407482,37.6789543
224,Школа № 56,55.7467017,37.5492835
225,Школа №771,55.8827959,37.5346768
226,Школа №771,55.8865095,37.5373528
227,Школа №1291 с углублённым изучением английского языка,55.8872557,37.5373531
228,"Школа ""Колледж-XXI""",55.6481689,37.4021495
