num,name,website,buildings
63,ГК Монолит,https://www.cian.ru/zastroishchik-gk-monolit-7632/,12 домов в 8 ЖК
64,Мегалит,https://www.cian.ru/zastroishchik-megalit-8167/,11 домов в 6 ЖК
65,РосЕвроСити,https://www.cian.ru/zastroishchik-rosevrositi-8563/,11 домов в 1 ЖК
66,ПСК НПО Машиностроения,https://www.cian.ru/zastroishchik-psk-npo-mashinostroeniia-9451/,7 домов в 3 ЖК
67,,https://www.cian.ru/zastroishchik-sz-averus-16436/,10 домов в 1 ЖК
68,Корпорация ВИТ,https://www.cian.ru/zastroishchik-korporatsiia-vit-1266/,12 домов в 3 ЖК
69,СИ ГК Остов,https://www.cian.ru/zastroishchik-si-gk-ostov-8398/,21 дом в 10 ЖК
70,ПИК,https://www.cian.ru/zastroishchik-pik-9/,1261 дом в 167 ЖК
71,DOGMA,https://www.cian.ru/zastroishchik-dogma-14483/,64 дома в 8 ЖК
72,Группа Самолет,https://www.cian.ru/zastroishchik-gruppa-samolet-6399/,470 домов в 46 ЖК
73,ГК Страна Девелопмент,https://www.cian.ru/zastroishchik-gk-strana-development-15029/,52 дома в 12 ЖК
74,Брусника,https://www.cian.ru/zastroishchik-brusnika-9912/,192 дома в 33 ЖК
75,ГК Развитие,https://www.cian.ru/zastroishchik-gk-razvitie-10404/,66 домов в 30 ЖК
76,ГК АльфаСтройИнвест,https://www.cian.ru/zastroishchik-gk-alfastroiinvest-9207/,33 дома в 12 ЖК
77,AVA,https://www.cian.ru/zastroishchik-ava-6490/,164 дома в 31 ЖК
78,А101,https://www.cian.ru/zastroishchik-a101-6381/,265 домов в 13 ЖК
79,ПРОФИ-ИНВЕСТ,https://www.cian.ru/zastroishchik-profi-invest-7235/,25 домов в 8 ЖК
80,GloraX,https://www.cian.ru/zastroishchik-glorax-9164/,27 домов в 13 ЖК
81,Группа Эталон,https://www.cian.ru/zastroishchik-gruppa-etalon-980/,201 дом в 54 ЖК
82,Сибпромстрой,https://www.cian.ru/zastroishchik-sibpromstroi-10937/,109 домов в 28 ЖК
83,Холдинг «РСТИ» (Росстройинвест),https://www.cian.ru/zastroishchik-kholding-rsti-rosstroiinvest-8136/,67 домов в 19 ЖК
84,ГК Гранель,https://www.cian.ru/zastroishchik-gk-granel-7056/,259 домов в 25 ЖК
85,ГК Расцветай,https://www.cian.ru/zastroishchik-gk-rastsvetai-13100/,46 домов в 21 ЖК
86,Ин-Групп (Тула),https://www.cian.ru/zastroishchik-in-grupp-tula-14247/,71 дом в 5 ЖК
87,Новые Ватутинки,https://www.cian.ru/zastroishchik-novye-vatutinki-15623/,41 дом в 2 ЖК
88,UDS,https://www.cian.ru/zastroishchik-uds-11882/,39 домов в 21 ЖК
89,ГК Новая Жизнь,https://www.cian.ru/zastroishchik-gk-novaia-zhizn-11218/,28 домов в 5 ЖК
90,Главстрой Регионы,https://www.cian.ru/zastroishchik-glavstroi-regiony-18462/,95 домов в 10 ЖК
91,Стройпромавтоматика,https://www.cian.ru/zastroishchik-stroipromavtomatika-7940/,15 домов в 9 ЖК
92,Seven Suns Development,https://www.cian.ru/zastroishchik-seven-suns-development-8589/,28 домов в 6 ЖК
93,СЗ ТРЕНД-ГРУПП,https://www.cian.ru/zastroishchik-sz-trend-grupp-18537/,5 домов в 1 ЖК
94,Тройка РЭД,https://www.cian.ru/zastroishchik-troika-red-8314/,56 домов в 12 ЖК
95,БЭЛ Девелопмент,https://www.cian.ru/zastroishchik-bel-development-8275/,5 домов в 4 ЖК
96,МонАрх,https://www.cian.ru/zastroishchik-monarkh-7052/,44 дома в 7 ЖК
97,Консоль,https://www.cian.ru/zastroishchik-konsol-11843/,15 домов в 7 ЖК
98,Sezar Group,https://www.cian.ru/zastroishchik-sezar-group-8577/,24 дома в 4 ЖК
99,Новое Летово,https://www.cian.ru/zastroishchik-novoe-letovo-18042/,3 дома в 1 ЖК
100,ГК СтройИнновация,https://www.cian.ru/zastroishchik-gk-stroiinnovatsiia-15047/,15 домов в 4 ЖК
101,ГК Юникей,https://www.cian.ru/zastroishchik-gk-iunikei-17528/,7 домов в 2 ЖК
102,СИТИ21,https://www.cian.ru/zastroishchik-siti21-515/,54 дома в 15 ЖК
103,Зеленый сад,https://www.cian.ru/zastroishchik-zelenyi-sad-11457/,22 дома в 15 ЖК
104,СЗ ГОРАКС,https://www.cian.ru/zastroishchik-sz-goraks-18893/,2 дома в 1 ЖК
105,ГРАНД,https://www.cian.ru/zastroishchik-grand-9786/,13 домов в 10 ЖК
106,СЗ ЖК ЯРКИЙ. РИГА,https://www.cian.ru/zastroishchik-sz-zhk-iarkii-riga-18281/,3 дома в 1 ЖК
107,RDI,https://www.cian.ru/zastroishchik-rdi-6114/,57 домов в 5 ЖК
